id,RecordDate,UpdatedDate,UpdatedBy,Market_Prices_LNG_Henry_Hub,Market_Prices_LNG_TTF,Market_Prices_LNG_JKM,Market_Prices_C3,Market_Prices_C4,Market_Prices_Condensate
1,31/07/2020,23/07/2022,Abimbola.Salami,1.764954545,1.780782609,2.378809524,267.0125,234.4275,346.25
2,31/08/2020,23/07/2022,Abimbola.Salami,2.34347619,2.7929,3.72975,273.199375,270.950625,389.75
3,30/09/2020,23/07/2022,Abimbola.Salami,2.280238095,3.927590909,4.726318182,262.128125,276.33,368.25
4,31/10/2020,23/07/2022,Abimbola.Salami,2.836227273,4.884181818,6.201090909,275.47875,296.715,331.75
5,30/11/2020,23/07/2022,Abimbola.Salami,2.87195,4.830047619,6.811571429,298.2725,378.82125,390.25
6,31/12/2020,23/07/2022,Abimbola.Salami,2.584272727,5.796238095,10.87545455,391.40125,516.42,454.75
7,31/01/2021,23/07/2022,Abimbola.Salami,2.648736842,7.26155,16.91795,480.6225,419.59125,504.75
8,28/02/2021,23/07/2022,Abimbola.Salami,2.917,6.1285,6.963894737,494.95,458.09625,581.5
9,31/03/2021,23/07/2022,Abimbola.Salami,2.622043478,6.109478261,6.382652174,481.925,442.8075,556.25
10,30/04/2021,23/07/2022,Abimbola.Salami,2.685095238,7.17915,7.996285714,459.7825,400.905,573.25
11,31/05/2021,23/07/2022,Abimbola.Salami,2.9595,8.894578947,10.03210526,463.03875,447.90375,602.75
12,30/06/2021,23/07/2022,Abimbola.Salami,3.272409091,10.27809091,11.99004545,561.3775,557.19,654.5
13,31/07/2021,23/07/2022,Abimbola.Salami,3.815,12.47,14.0968,582.87,594.56,685.75
14,31/08/2021,23/07/2022,Abimbola.Salami,4.0315,15.3414,17.0352,596.55,607.3,649.5
15,30/09/2021,23/07/2022,Abimbola.Salami,5.114857143,22.55077273,24.69513636,737.86625,687.4275,711.25
16,31/10/2021,23/07/2022,Abimbola.Salami,5.571,30.669,35.9672,714.42125,731.595,767.0
17,30/11/2021,23/07/2022,Abimbola.Salami,5.12,27.624,32.8129,531.42,583.8,646.0
18,31/12/2021,23/07/2022,Abimbola.Salami,3.864,37.428,36.5825,586.13,648.92,694.05
19,31/01/2022,23/07/2022,Abimbola.Salami,4.2555,28.1425,25.9378,676.32,741.79,771.06
20,28/02/2022,23/07/2022,Abimbola.Salami,4.463,26.58995,26.97394444,730.05125,735.55875,857.525
21,31/03/2022,23/07/2022,Abimbola.Salami,4.9793,41.6443,39.3557,723.53875,773.4975,992.0326
22,30/04/2022,23/07/2022,Abimbola.Salami,6.7046,31.9255,27.9679,672.09,728.1975,900.2105
23,31/05/2022,23/07/2022,Abimbola.Salami,8.16348,28.84186,22.665,647.99375,716.589375,884.39286
24,30/06/2022,23/07/2022,Abimbola.Salami,7.598,33.97,30.5345,629.1075,640.995,798.925
